entity,property,uri,type,datatype,cardinalityMin,cardinalityMax,description,example,controlledVocabulary,allowedValues,unit
Field,bbox,https://www.w3.org/ns/dcat#bbox,datatype,xsd:string,1,1,Field polygon as WKT literal (dcterms:Location),"POLYGON((3.053 47.975, 7.24 47.975, 7.24 53.504, 3.053 53.504, 3.053 47.975))'",,,
Field,hasPlot,https://w3id.org/agri-image/hasplot,object,agimage:plot,0,*,List of plots in the field,,,,
Image,imageName,http://purl.org/dc/terms/title,datatype,xsd:string,1,1,"Name of the image, follow the format: timestamp_camid_trigger_channel.png",20251014T093010Z857_camid9_trigger1000_rgb.png,,,
Image,imageID,http://purl.org/dc/terms/identifier,datatype,xsd:string,0,1,Unique identifier for the image based on image + uuid,20251014T093010Z857_camid9_trigger1000_rgb.png_0acbbe89-3058-4f62-a731-3fd3b42cfa04,,,
Image,imageTimestamp,http://www.w3.org/TR/xmlschema11-2/#dateTime,datatype,xsd:dateTime,1,1,ISO-8601 timestamp of image (YYYYMMDDTHHMMSSZmilliseconds 20250917T134658Z),2025-10-14T09:30:10.857Z,,,
Image,cameraID,http://purl.org/dc/terms/identifier,datatype,xsd:string,1,1,Identifier of the camera that captured the image,4110035082,,,
Image,fieldID,http://purl.org/dc/terms/identifier,datatype,xsd:string,1,1,Identifier of the field where the image was captured,field_001_5de48942-0c39-411f-8f4a-756b0c20f7bb,,,
Image,plotID,http://purl.org/dc/terms/identifier,datatype,xsd:string,1,1,Identifier of the plot where the image was captured,plot123_448aadb7-b07d-498d-9301-2240533d849a,,,
Image,machineID,http://purl.org/dc/terms/identifier,datatype,xsd:string,1,1,Identifier of the machine/platform that captured the image,demo_platform1_09cbf6ae-8dc1-43dc-96ef-4675b71039c3,,,
Image,exposureTime,https://exiftool.org/TagNames/EXIF.html#ExposureTime,datatype,xsd:float,0,1,Exposure time in seconds (Exif is also seconds),0.01,,,https://qudt.org/vocab/unit/SEC
Image,imageNumber,https://exiftool.org/TagNames/EXIF.html#ImageNumber,datatype,xsd:integer,0,1,"Image number, Exif.Image.ImageNumber",1000,,,
Image,imageXYZ,http://purl.org/dc/terms/Location,datatype,rdf:List,0,1,Camera location XYZ coordinates in meters relative to platform base,"[0.0, 0.0, 2.5]",,,https://qudt.org/vocab/unit/M
Image,imageQuaternionXYZW,https://dbpedia.org/page/Quaternion,datatype,rdf:List,0,1,"Camera orientation as quaternion [x, y, z, w], relative to base assumes OPENCV camera coord. system","[0.0, 0.0, 0.0, 1.0]",,,
Image,imageGNSS,http://dbpedia.org/resource/NMEA_0183,datatype,xsd:string,0,1,"NMEA string (e.g., NMEA-GGA/GSV, NMEA-2000) of camera position","$GPGGA,172814.0,3723.46587704,N,12202.26957864,W,2,6,1.2,18.893,M,-25.669,M,2.0 0031*4F",,,
Image,baseXYZ,http://purl.org/dc/terms/Location,datatype,rdf:List,1,1,Platform base location XYZ coordinates in meters (global reference frame),"[0.0, 0.0, 0.0]",,,https://qudt.org/vocab/unit/M
Image,baseQuaternionXYZW,https://dbpedia.org/page/Quaternion,datatype,rdf:List,1,1,"Machine base orientation as quaternion [x, y, z, w]  (global reference frame)","[0.0, 0.0, 0.0, 1.0]",,,
Image,baseGNSS,http://dbpedia.org/resource/NMEA_0183,datatype,xsd:string,0,1,"NMEA string (e.g., NMEA-GGA/GSV, NMEA-2000) of machine base position","$GPGGA,172814.0,3723.46587704,N,12202.26957864,W,2,6,1.2,18.893,M,-25.669,M,2.0 0031*4F",,,
Platform,platformName,http://purl.org/dc/terms/title,datatype,xsd:string,1,1,Name of the Platform/platform,demo_platform1,,,
Platform,platformID,http://purl.org/dc/terms/identifier,datatype,xsd:string,0,1,Unique identifier for the Platform/platform based on PlatformName + uuid,demo_platform1_09cbf6ae-8dc1-43dc-96ef-4675b71039c3,,,
Platform,hasSensor,https://w3id.org/agri-image/hasSensor,object,agimage:sensor,0,*,List of sensors/cameras mounted on the Platform/platform,,,,
Sensor,hasCamera,https://w3id.org/agri-image/hasCamera,object,agimage:camera,0,*,,,,,
Plot,plotName,http://purl.org/dc/terms/title,datatype,xsd:string,1,1,Plot or greenhouse identifier,plot123,,,
Plot,plotID,http://purl.org/dc/terms/identifier,datatype,xsd:string,0,1,Unique identifier for the maplot based on plot + uuid,plot123_448aadb7-b07d-498d-9301-2240533d849a,,,
Plot,bbox,https://www.w3.org/ns/dcat#bbox,datatype,xsd:string,1,1,Plot polygon as WKT literal (dcterms:Location),"POLYGON((3.053 47.975, 7.24 47.975, 7.24 53.504, 3.053 53.504, 3.053 47.975))'",,,
Plot,crop,https://w3id.org/agri-image/crop,object,agimage:crop,1,*,List of crops planted in the plot,,,,
Plot,weed,https://w3id.org/agri-image/weed,object,agimage:crop,0,*,List of weeds present in the plot,,,,
Plot,soilType,https://aims.fao.org/aos/agrovoc/c_7156.html,datatype,xsd:string,0,1,Soil type in the image,clay,,,
Plot,weatherConditions,https://dbpedia.org/page/Weather,datatype,xsd:string,0,1,General description of the weather conditions,SUNNY,,,
Plot,surfaceLayer,http://purl.obolibrary.org/obo/ENVO_00010504,datatype,xsd:string,0,*,Non-crop surface cover visible in the images,SHELLS,,,
